RA;Dec;Magnitude;"Exposure middle";"Uploaded by"
"05h48m23.992s";"+30°57'03.18""";1.1302713;"2022-03-02 20:34:31.875";rasto_muni
"05h48m23.993s";"+30°57'03.30""";1.122831;"2022-03-02 20:37:34.539";rasto_muni
"05h48m23.990s";"+30°57'03.34""";1.1295242;"2022-03-02 20:36:03.241";rasto_muni
"05h48m24.006s";"+30°57'03.04""";1.1162422;"2022-03-02 20:29:57.445";rasto_muni
"05h48m23.995s";"+30°57'03.18""";1.1154156;"2022-03-02 20:23:51.976";rasto_muni
"05h48m23.998s";"+30°57'03.15""";1.1290107;"2022-03-02 20:31:28.915";rasto_muni
"05h48m23.992s";"+30°57'03.22""";1.1160413;"2022-03-02 20:26:54.733";rasto_muni
"05h48m23.987s";"+30°57'03.21""";1.1214509;"2022-03-02 20:25:23.294";rasto_muni
"05h48m23.996s";"+30°57'03.19""";1.1169035;"2022-03-02 20:28:26.69";rasto_muni
"05h48m23.986s";"+30°57'03.22""";1.1071352;"2022-03-02 20:20:49.293";rasto_muni
"05h48m24.000s";"+30°57'03.21""";1.1143482;"2022-03-02 20:22:20.761";rasto_muni
"05h48m23.991s";"+30°57'03.30""";1.1098033;"2022-03-02 20:19:17.840";rasto_muni
"05h48m23.987s";"+30°57'03.29""";1.0848423;"2022-03-02 20:05:35.73";rasto_muni
"05h48m23.998s";"+30°57'03.33""";1.1030062;"2022-03-02 20:17:46.275";rasto_muni
"05h48m23.993s";"+30°57'03.13""";1.0985011;"2022-03-02 20:14:43.544";rasto_muni
"05h48m23.994s";"+30°57'03.12""";1.1088287;"2022-03-02 20:13:12.106";rasto_muni
"05h48m23.992s";"+30°57'03.20""";1.0937165;"2022-03-02 20:08:37.866";rasto_muni
"05h48m23.986s";"+30°57'03.24""";1.1054808;"2022-03-02 20:16:14.977";rasto_muni
"05h48m23.975s";"+30°57'03.22""";1.1012746;"2022-03-02 20:11:40.649";rasto_muni
"05h48m23.988s";"+30°57'03.12""";1.0924556;"2022-03-02 20:10:09.311";rasto_muni
"05h48m23.986s";"+30°57'03.21""";1.0632578;"2022-03-02 19:51:52.740";rasto_muni
"05h48m23.989s";"+30°57'03.20""";1.0663013;"2022-03-02 19:57:58.446";rasto_muni
"05h48m24.000s";"+30°57'03.27""";1.0736407;"2022-03-02 19:56:26.955";rasto_muni
"05h48m24.000s";"+30°57'03.30""";1.0584472;"2022-03-02 19:54:55.405";rasto_muni
"05h48m23.985s";"+30°57'03.12""";1.0908662;"2022-03-02 20:07:06.415";rasto_muni
"05h48m23.998s";"+30°57'03.25""";1.0833876;"2022-03-02 20:02:32.350";rasto_muni
"05h48m23.989s";"+30°57'03.10""";1.0791906;"2022-03-02 19:59:29.762";rasto_muni
"05h48m23.982s";"+30°57'03.28""";1.0820882;"2022-03-02 20:04:03.623";rasto_muni
"05h48m24.002s";"+30°57'03.25""";1.0816666;"2022-03-02 20:01:01.32";rasto_muni
"05h48m23.989s";"+30°57'03.22""";1.0465988;"2022-03-02 19:45:47.730";rasto_muni
"05h48m24.005s";"+30°57'03.44""";1.050569;"2022-03-02 19:48:50.291";rasto_muni
"05h48m24.001s";"+30°57'03.13""";1.0618043;"2022-03-02 19:50:21.482";rasto_muni
"05h48m23.995s";"+30°57'03.25""";1.0687729;"2022-03-02 19:53:24.97";rasto_muni
"05h48m23.985s";"+30°57'03.16""";1.0619546;"2022-03-02 19:47:18.996";rasto_muni
"05h48m23.993s";"+30°57'03.23""";1.0477856;"2022-03-02 19:42:45.108";rasto_muni
"05h48m24.004s";"+30°57'03.26""";1.0440854;"2022-03-02 19:44:16.413";rasto_muni
"05h48m23.996s";"+30°57'03.17""";1.0459653;"2022-03-02 19:36:40.55";rasto_muni
"05h48m23.996s";"+30°57'03.29""";1.0392611;"2022-03-02 19:41:13.847";rasto_muni
"05h48m24.000s";"+30°57'03.22""";1.0449386;"2022-03-02 19:39:42.606";rasto_muni
